filename	mark	label	off0	off1	span
es-S0004-06142007000600016-2	T9	ENFERMEDAD	330	374	lesión nodular sólida en cabeza de epidídimo
es-S0004-06142007000600016-2	T11	ENFERMEDAD	436	467	tumor adenomatoide de epidídimo
es-S0004-06142007000600016-2	T12	ENFERMEDAD	1136	1167	tumor adenomatoide de epidídimo
es-S0004-06142007000600016-2	T1	ENFERMEDAD	558	594	tumoración nodular en cola epidídimo
es-S0004-06142007000700013-1	T3	ENFERMEDAD	253	285	insuficiencia respiratoria grave
es-S0004-06142007000700013-1	T4	ENFERMEDAD	302	320	Síndrome de Potter
es-S0004-06142007000700013-1	T5	ENFERMEDAD	344	362	oligoamnios severo
es-S0004-06142007000700013-1	T11	ENFERMEDAD	602	613	micrognatia
es-S0004-06142007000700013-1	T19	ENFERMEDAD	1107	1114	quistes
es-S0004-06142007000700013-1	T29	ENFERMEDAD	1998	2049	riñones en los que se demostraron múltiples quistes
es-S0004-06142007000700013-1	T30	ENFERMEDAD	2119	2126	quistes
es-S0004-06142007000700013-1	T31	ENFERMEDAD	2369	2386	quistes medulares
es-S0004-06142007000700013-1	T33	ENFERMEDAD	2745	2803	enfermedad poliquística renal autosómica recesiva infantil
es-S0004-06142007000700013-1	T34	ENFERMEDAD	1048	1069	formaciones quísticas
es-S0004-06142007000700013-1	T39	ENFERMEDAD	2282	2289	quistes
es-S0004-06142007000700013-1	T1	ENFERMEDAD	2598	2650	dilatación, incluso quística, de los ductos biliares
es-S0004-06142007000700014-1	T1	ENFERMEDAD	21	42	alérgico a penicilina
es-S0004-06142007000700014-1	T3	ENFERMEDAD	79	91	endocarditis
es-S0004-06142007000700014-1	T6	ENFERMEDAD	260	308	glande, que deformaba meato, con áreas ulceradas
es-S0004-06142007000700014-1	T8	ENFERMEDAD	343	397	adenopatías fijas y duras en ambas regiones inguinales
es-S0004-06142007000700014-1	T11	ENFERMEDAD	477	512	adenopatías pulmonares e inguinales
es-S0004-06142007000700014-1	T12	ENFERMEDAD	551	568	neoplasia de pene
es-S0004-06142007000700014-1	T15	ENFERMEDAD	679	742	sarcoma pleomórfico de pene con diferenciación osteosarcomatosa
es-S0004-06142007000700014-1	T20	ENFERMEDAD	1016	1041	insuficiencia renal aguda
es-S0004-06142007000700015-1	T9	ENFERMEDAD	391	413	quísticas parapiélicas
es-S0004-06142007000700015-1	T10	ENFERMEDAD	524	531	quistes
es-S0004-06142007000700015-1	T12	ENFERMEDAD	581	616	quiste parapiélico en riñón derecho
es-S0004-06142007000700015-1	T16	ENFERMEDAD	765	780	lesión quística
es-S0004-06142007000700015-1	T18	ENFERMEDAD	997	1024	linfangioma renal bilateral
es-S0004-06142007000700015-1	T20	ENFERMEDAD	1174	1186	lesión renal
es-S0004-06142007000700015-1	T22	ENFERMEDAD	467	475	lesiones
es-S0004-06142007000700015-1	T1	ENFERMEDAD	870	910	celda renal izquierda existía una lesión
es-S0004-06142007000900013-1	T15	ENFERMEDAD	923	941	torsión testicular